ID do Cliente,Tipo de Cliente,Data da Venda,ID do Carro Vendido,Marca do Carro,Ano de Fabricação do Carro,Quilometragem do Carro no Momento da Venda,Tipo de Combustível,Tipo de Transmissão,Preço de Venda (R$),Forma de Pagamento,Status do Pagamento,Histórico de Aluguel (se aplicável),ID do Contrato de Aluguel Anterior (se aplicável),Desconto para Ex-cliente de Aluguel (%),Cancelamento da Venda,Motivo do Cancelamento (se aplicável),Coerente
33594,b2B,27 de June de 2024,114224,HOnDa,2018,118926,DiEsel,maNUAl,94275.53,tRansFERÊnCIA banCÁrIa,COmpLeTO,NãO,,0,sim,pRoBLEMa nA DOCUmENTAção,True
15784,b2c,04/03/2022,211935,FOrD,2016,154040,eletricO,auTOMÁtICA,89561.76,FiNAnCiAmENtO,eM AndAMEntO,nÃo,,0,NÃO,,True
54472,b2b,05 de December de 2022,268123,hyUNDAI,2018,116164,híbrIDo,Manual,94275.53,trAnSFeRÊncia bANCÁrIA,CoMpLeto,sIM,68959.0,5,SIM,FinaNciamEntO negADo,True
8295,B2c,2024-02-15,883832,chEVrOlET,2012,238651,gaSOlinA,aUtOmátIcA,72948.61,carTÃo De CRéditO,CompLeTO,N,,0,sIM,cLiEnTE dESisTiu,True
55179,b2C,10 de November de 2023,881572,NIsSaN,2016,148048,híbRido,MaNUAL,89561.76,FinanciAMenTo,em anDAMEnTO,NÃO,,0,siM,Problema nA DoCUMEnTAçÃO,True
76762,B2b,30/03/2024,767825,hondA,2020,78909,gasoLIna,aUtOmÁtICa,116067.14,TrANSFERÊnCia BANCÁrIa,compLeTo,NãO,,0,siM,PrObLEMa nA dOcuMEntAçãO,True
4813,B2c,2023-11-28,167958,HyUnDaI,2022,31815,ELÉtRICo,MAnual,135375.0,CARTãO dE CRÉDito,cOmPlEto,NÃo,,0,SIm,ClienTe DEsIsTIu,True
93943,B2b,08 de May de 2023,899291,volkswagEn,2019,78110,HÍBrIdO,mANUAL,110263.78,FINAnCiamEnTo,Em AnDameNtO,NãO,,0,NÃO,,True
48708,B2C,27/01/2024,709476,nIssAN,2014,172710,gASOLIna,AUtoMáTICA,80829.49,CArtÃo DE creDITO,compLETO,NÃo,,0,sim,cLiente desisTIu,True
71803,B2c,02/11/2023,648849,FOrd,2016,159523,eLÉtRiCO,mAnual,89561.76,carTao DE CRÉditO,comPletO,nÃo,,0,SIm,fINANCiAMeNto nEGADO,True
61858,b2C,2024-06-25,712175,HYunDaI,2019,93639,gasoLinA,mANuaL,116067.14,TrANSfERêNCiA banCárIa,CoMPLeTO,SiM,68155.0,15,SIm,pRObLEMa NA docUmenTaçÃO,True
1578,B2C,27/03/2023,906522,HONdA,2019,86236,gASolina,mANuaL,116067.14,TraNsferÊNciA BANCáRIa,cOmpleto,NÃO,,0,Não,,True
54117,B2C,2023-02-02,998738,nISsan,2021,54616,ElÉTRiCO,MANUaL,128606.25,TrANsferênCiA BaNcária,COmplETO,nãO,,0,Sim,fInaNcIaMENTO NeGAdo,True
31394,B2C,06/10/2023,352395,FoRD,2018,116472,HíbrIDo,ManUal,99237.41,cARtãO De crédito,completo,NÃO,,0,SIM,FinaNCiAMenTO neGaDo,True
66364,b2b,12 de June de 2023,162551,HYUNDAI,2021,55102,DieseL,AuTomÁtiCA,122175.94,TRansfeRência BANCáRIa,COMpLetO,NÃO,,0,NÃo,,True
13514,B2C,10/03/2022,757327,fORD,2019,79907,HíbrIDo,AutomáTicA,116067.14,FiNAnCIaMenTO,Em AndAmEnTO,NÃO,,0,siM,FINanCiaMenTO NEGaDO,True
16973,b2B,22 de June de 2023,290355,hYuNdaI,2018,111172,eLéTrIcO,aUtoMÁTicA,94275.53,FInAncIaMeNtO,em anDameNTO,siM,69774.0,5,Nao,,True
46634,B2C,2024-05-05,390916,cHEVRoLeT,2017,131909,HÍbrIDo,mAnuaL,94275.53,TRaNsfERêNCiA BANcÁRIA,compLeTo,nÃo,,0,Não,,True
32420,b2c,21 de February de 2023,384307,cHEVrOlet,2014,180092,DieSEL,maNUal,80829.49,fiNAncIAMenTO,EM anDAmentO,SiM,43423.0,15,NÃO,,True
90179,b2b,30/07/2022,848017,hOndA,2012,207016,DIEsel,AUTOMátiCA,69301.18,fINanCIAmento,eM AndaMenTo,nÃo,,0,NãO,,True
83448,b2b,18 de March de 2024,517230,nISSaN,2012,180232,EléTRicO,AUTOmÁTica,69301.18,fiNAncIAMEnto,Em ANdamENTO,nÃo,,0,nãO,,True
42423,B2c,29 de July de 2023,756170,CHEVRolET,2017,128642,hÍbrIdo,aUTOmÁticA,94275.53,fINANciAMEnto,em ANDameNTo,Nao,,0,NÃO,,True
88324,B2b,2023-10-18,102376,FoRD,2012,225447,HíbRIdO,aUtomática,69301.18,trAnsFeRêNCIa bANcÁRIA,COmpLeto,nÃO,,0,sIM,proBlEMa NA DocuMEnTAçÃO,True
16329,B2b,05/01/2023,418516,tOyota,2019,77402,GasOLina,mANUal,110263.78,cARTÃO de cRéditO,cOMpleTO,NÃo,,0,SIm,prOBLEMa na doCumEntaçÃO,True
36113,B2c,04/09/2022,204239,ChEVRolEt,2012,180991,gasOLInA,MAnuAL,72948.61,CArTão DE CrédIto,compLetO,SIM,5939.0,5,sIM,ClIeNTE DEsiStIU,True
40667,b2B,01/05/2024,239466,forD,2015,155268,HibRiDO,auTOmátIca,80829.49,tRaNsFERÊNcia bancária,comPLEto,NÃo,,0,Sim,finANCIaMeNTO negadO,True
28918,B2b,06/06/2022,331107,hOndA,2021,50762,HíBRiDO,MAnuaL,122175.94,FINAnciAmENto,eM aNdameNto,NãO,,0,siM,finaNCIAMeNTo NegaDO,True
28300,b2b,12 de June de 2024,327327,VolksWagen,2012,195047,hÍbriDo,AUtOmÁtICa,69301.18,FINaNCiamENTo,eM aNdamEnTO,NÃO,,0,siM,CLIenTE deSIstIU,True
82123,b2c,06/06/2024,487113,NissAN,2022,32367,GasoLInA,maNuAL,135375.0,carTÃo De CRÉDIto,CoMPletO,nÃo,,0,Não,,True
55222,B2c,2023-05-15,812493,HyUNDAi,2011,252459,HÍBriDo,aUtOmáTIca,69301.18,FinAnciAmEnTo,em AndAMENTo,NãO,,0,Sim,prObleMa na docuMeNtaçao,True
81027,b2C,26 de August de 2024,682181,ford,2013,182493,HíbrIdo,mAnUal,76788.01,CartÃo De crédItO,COmplETo,NÃO,,0,SIM,proBlema na docUMENTaçÃO,True
46469,B2b,15/05/2024,632196,VOlKSwaGeN,2011,222216,hÍbRiDo,autOMátiCa,65836.12,traNsFerÊnCia BancÁria,comPLETo,NÃO,,0,nãO,,True
35968,B2c,07 de August de 2023,813950,honda,2012,225459,Diesel,aUTOmáTIca,72948.61,cARTÃO de creDIto,cOMpLEto,NãO,,0,sIM,cLieNtE DesistIU,True
18788,b2b,24 de November de 2023,423247,tOYOTa,2020,69146,DiEsel,AUTomÁTicA,116067.14,CArtão DE crÉdItO,ComPLEtO,Sim,1059.0,10,nÃo,,True
58012,B2b,04 de January de 2023,162195,FORd,2015,151736,hibRIdO,aUToMátICa,80829.49,FinanCiAMenTo,EM AnDAmENTo,nÃO,,0,N,,True
60154,b2c,16/02/2022,179570,HondA,2021,54280,dIeSeL,MaNUal,128606.25,TRAnSFErênCIA BancÁRiA,COMpLeTo,nãO,,0,sim,FInaNCIaMEnTO NeGaDO,True
81454,b2B,18/09/2024,632197,toYOta,2014,160312,GasolIna,AutoMÁTiCa,76788.01,caRTãO de crÉDitO,ComplETO,nÃO,,0,SIM,probLEmA na DoCUMEntaçãO,True
14727,b2C,21 de December de 2023,324804,chEvroLET,2021,49115,GAsolINa,AUTomática,128606.25,tRANsfERÊncIA BaNCÁria,compLetO,nÃo,,0,N,,True
58019,b2C,2024-04-24,313536,HYundAI,2012,235764,DIESEL,auTomÁtICA,72948.61,FinancIAmenTO,Em aNDAmENto,NãO,,0,N,,True
34357,B2c,2023-10-25,482337,voLKSwAgEn,2016,159339,híBRiDO,mANUal,89561.76,FINAncIAMEntO,Em andAmeNTo,SiM,25240.0,10,nÃO,,True
44145,B2b,13/02/2022,492838,chEVROlet,2017,129331,gasOLINa,auTOmáTIca,89561.76,fInanCIaMENTO,Em aNDAmeNTO,SIM,75232.0,5,Não,,True
75706,b2c,06/03/2022,349341,TOyOtA,2013,183154,dIeSeL,auTomáTiCa,76788.01,TRANsFerêNcIA bAnCÁrIa,comPLEtO,N,,0,nÃO,,True
71520,B2b,18 de September de 2023,475345,volkswAGEn,2010,254637,eLéTRIcO,mANuAl,62544.32,FInANCIAmeNto,em anDameNto,Nao,,0,sim,PRoBlEma na dOcUMenTAÇÃO,True
48968,b2b,22/04/2023,935658,CHeVRoLEt,2010,251103,EléTricO,ManuAl,62544.32,fINANcIameNtO,EM ANdAmeNTo,NÃO,,0,siM,finanCIAMENTo nEgaDo,True
94933,b2b,13 de January de 2022,934573,tOYotA,2022,39253,dIEsel,MAnUal,128606.25,FInAnCiaMENTo,EM AnDAMENTO,sim,9905.0,5,SiM,fInANcIaMeNTO nEgaDO,True
39501,b2C,15/06/2024,781579,volKswAgeN,2016,157881,ElÉTricO,autOMÁtIcA,89561.76,FiNANCiaMEntO,EM anDamENTO,nãO,,0,Sim,CLIentE DeSIsTIU,True
57012,b2b,2024-01-10,189529,hoNda,2022,32083,DIesEl,automÁTIca,128606.25,cartãO DE CrÉdItO,cOmPleTo,nÃo,,0,SiM,ClIentE deSIStIu,True
21415,B2C,20/03/2023,530922,cHEVroleT,2017,116872,dIESEl,MANUaL,94275.53,TRansfERência bANCáRIa,COMPleTO,NÃo,,0,sim,prObLEma nA DOCuMENtaçãO,True
57016,b2b,06/02/2023,634272,chevRolet,2014,153874,ELetriCo,AUToMÁticA,76788.01,FInaNcIamENtO,eM aNdamENto,NãO,,0,N,,True
13749,B2B,2022-01-26,118734,CHEvrOLet,2013,218488,híBrIdO,mANUAL,72948.61,fInanciAmEnTo,EM anDAmenTO,NÃO,,0,nãO,,True
65748,B2B,03 de April de 2024,945089,nISSaN,2022,36810,elétRicO,mAnUAl,128606.25,traNsfErÊNciA BANCárIA,ComPleTO,nÃO,,0,nÃO,,True
29895,b2c,22 de September de 2022,362453,hYUndai,2011,224355,hÍBrIdO,aUtomátIcA,69301.18,fiNaNCiaMEnTo,em anDAMENTo,siM,48049.0,10,nÃO,,True
54370,B2c,2024-06-09,705268,chevrOLeT,2019,88415,hÍBriDo,AuToMÁtIca,116067.14,TRaNSfeRÊnCia bANcárIA,COMpLeTo,NÃo,,0,nãO,,True
44405,B2b,15 de May de 2022,576226,ForD,2016,136901,DieseL,maNual,85083.67,FiNANcIAmEntO,eM anDamEnTO,NÃo,,0,SIm,FinANCiAmENto nEgaDo,True
45318,B2B,28 de May de 2023,784731,FoRD,2019,95951,GAsoLiNA,AUtomática,110263.78,FinAnCiAMenTo,eM ANdAMenTo,N,,0,SIM,FInAncIamEnTo NEGado,True
16652,B2c,2024-06-15,996098,NissAn,2016,148430,hÍBrIDO,MaNUAL,89561.76,trANsFeRÊNcIa BaNCáRia,ComplETo,nãO,,0,nãO,,True
52697,B2b,2023-10-25,941569,FORD,2010,210757,ElÉtRico,maNuaL,62544.32,tranSfeRêNCiA BancáRIa,cOmpleTo,Nao,,0,NÃo,,True
20109,B2C,2024-03-04,393957,nIssaN,2017,126732,GAsoLINa,AUtomÁtIcA,94275.53,FINaNCIaMEntO,eM andAMeNtO,NãO,,0,Sim,cliEnTe DEsISTIU,True
78919,B2c,16 de March de 2022,127999,Honda,2016,121631,hibRIdO,MANuAL,89561.76,cArtÃO de cRéDiTo,cOMpLetO,nÃo,,0,sim,CLIenTe deSIsTiU,True
99493,B2b,06/01/2024,240334,tOYOta,2010,221752,HÍBRIdo,manUaL,62544.32,fiNANCIAmentO,Em AnDaMento,Sim,41685.0,15,Sim,cLieNTE dEsiSTIU,True
59371,b2c,2024-06-19,515380,ToYoTA,2021,50462,HíbridO,AuToMÁTIcA,128606.25,caRTao de CrÉDITo,ComPLETo,Não,,0,NÃo,,True
90250,B2b,14 de March de 2024,449371,fORd,2011,244650,ElÉtrico,aUtOmÁtICa,65836.12,cARtãO DE cRéDITo,cOmPLeTO,N,,0,sIm,pROBLemA na DocUmEntação,True
37027,b2b,29 de September de 2022,493059,chEVROlET,2014,193015,ElÉTRICO,AUtoMÁtICA,76788.01,TrAnSFErênciA baNcáRIA,ComplETo,NãO,,0,siM,cLIENTe DEsisTiu,True
40333,b2b,2024-08-15,667216,Nissan,2018,97872,eLÉtricO,mANUal,104750.59,financIAMeNTo,em ANdaMEntO,nãO,,0,Sim,pRoblema Na DocuMeNtaÇãO,True
21231,B2b,2023-02-10,712037,HOnDa,2021,50305,DiEsel,MaNUal,122175.94,cARTão De cRÉDITO,COMpleTO,nãO,,0,nÃO,,True
13602,b2B,2024-05-22,664716,cheVrOLET,2015,153805,HÍBriDO,AUTomÁtiCA,80829.49,finanCiamEnTO,EM aNdAmeNTO,nãO,,0,N,,True
42565,B2c,2023-07-12,989397,HoNdA,2021,50294,dieSeL,auTomÁTiCa,128606.25,caRTão dE cRÉDIto,coMPLeTO,sim,14081.0,5,N,,True
66999,b2b,04 de June de 2024,350649,TOYOtA,2017,133106,hÍBriDO,aUtOmÁtica,89561.76,CArTãO De CrÉdITO,comPLeTo,Nao,,0,SIm,PRoblEmA nA DocUMENTAçãO,True
16212,b2b,2023-01-25,838121,voLkSWagEn,2017,132416,dieSEL,mANuAL,89561.76,FinANciAmenTO,em AnDAMEnTo,NÃo,,0,NÃo,,True
48732,b2b,15/05/2022,158164,NiSsAN,2015,138021,dIEsEl,automÁtica,80829.49,tRaNSfERÊnCiA bANcáRIa,CompleTo,Nao,,0,sim,ClIentE deSIStiu,True
26825,b2b,2022-01-04,729309,tOYoTA,2014,167972,híbRido,AUTomÁtICA,76788.01,cartÃO DE cRedito,COMPlETO,nÃO,,0,sIM,ClIEnTe DEsisTIu,True
33137,B2C,29/06/2023,151025,HyUndAI,2010,224752,gAsOlINa,mAnuaL,65836.12,trANsFeRÊnCIA bANcáriA,COMPlETO,nÃO,,0,sim,ClienTe dEsiSTIU,True
10033,B2b,11 de July de 2023,639009,hoNdA,2010,276251,GasolInA,MaNual,62544.32,FInAnCiaMENto,EM aNdAMento,nÃO,,0,SIm,CLiENte DESIstiu,True
46539,B2C,15/07/2023,353085,vOlKSwaGEN,2013,181740,DiEsel,AUtoMÁTiCA,76788.01,FiNancIAmenTo,Em AnDAMENto,N,,0,nÃo,,True
86017,B2B,08/06/2023,933531,CheVrOlET,2018,93605,gAsoLINA,mANual,104750.59,FiNAnCiAMeNTO,em andamENTo,SIM,80695.0,15,N,,True
74998,B2c,27/04/2022,518367,TOYOta,2014,151353,gaSOlINA,auTOmátiCa,80829.49,TRAnsfeRÊNciA baNCárIA,cOMPleto,NÃO,,0,NÃO,,True
16608,B2b,28 de December de 2023,894703,HOnDa,2019,80974,DIeSEL,mANuAl,110263.78,fiNANCIaMEntO,EM anDAMenTo,nÃo,,0,sIM,Problema nA DocUMENtaçÃO,True
60056,B2B,30 de November de 2022,984489,ChEvRoLET,2017,137348,hÍBRiDO,AutOmáTiCa,89561.76,caRtÃO De CrÉDIto,COmpLeTO,Nao,,0,sIm,PrOBlEMA na dOCUMeNTAçÃO,True
7884,b2C,2022-04-15,606673,forD,2010,227237,GaSoLinA,aUtOmÁtiCa,65836.12,TRanSFERêNCiA BAncÁrIA,COmpleto,N,,0,NãO,,True
33389,B2c,02/02/2024,349457,Ford,2019,78295,GASoliNa,automátICA,116067.14,FInAnCIamEntO,Em aNDaMENTo,nãO,,0,N,,True
31000,b2C,17 de December de 2023,119494,nisSAn,2019,88293,hÍBriDo,AUtOmÁtICa,116067.14,CArtãO dE cRédiTO,ComPlETo,NÃO,,0,SIM,cliEnTe DEsIsTiu,True
53600,b2B,28/05/2023,888608,TOyOTA,2015,159197,dIESEL,MAnual,80829.49,fINaNciAMENTO,em andAMentO,NÃO,,0,nao,,True
42578,b2c,2023-10-04,374101,tOYOTa,2015,169659,GAsOlina,auToMática,85083.67,CARtão dE CrÉdito,coMpLEtO,nãO,,0,sIM,proBLemA na DOcUmEntaÇÃo,True
67617,B2b,31/03/2023,588069,hoNda,2012,235197,gASOlIna,ManuAL,69301.18,trAnsferÊnCiA BANcÁrIa,CoMplEto,NÃO,,0,sim,FinaNciAMenTo NeGADo,True
25226,b2B,04/09/2023,611606,hyUndAI,2012,227090,GASoLiNa,maNUAL,69301.18,FinanCIamento,Em aNDaMeNTO,nÃo,,0,Não,,True
